building_id building_id_count anomaly_count
118 8784 166
697 8784 158
121 8784 184
1147 8784 125
1143 8784 80
1074 8784 196
623 8783 144
290 8783 309
1073 8783 143
1141 8783 171
1219 8783 175
1253 8782 179
1137 8782 170
253 8782 114
293 8782 92
246 8782 97
174 8781 96
171 8781 117
687 8781 155
335 8781 258
173 8781 85
235 8781 79
183 8781 95
1106 8781 100
1172 8781 173
666 8780 95
698 8780 104
729 8780 109
722 8780 108
710 8780 105
190 8780 195
181 8779 105
254 8778 156
667 8777 211
721 8777 111
708 8776 114
657 8776 220
275 8776 166
276 8776 123
730 8774 200
159 8773 302
658 8773 138
680 8773 155
742 8773 242
1068 8772 291
675 8772 128
732 8771 293
701 8770 286
1120 8767 101
356 8764 101
1260 8763 194
148 8763 239
653 8761 250
1252 8760 276
1257 8759 181
1247 8758 174
439 8758 567
312 8758 229
1304 8758 173
1261 8757 268
801 8755 203
685 8755 288
1315 8755 199
1311 8750 278
1245 8747 185
1316 8745 197
683 8738 150
534 8737 246
677 8730 86
318 8729 120
1266 8728 225
240 8725 80
1323 8721 260
1309 8721 269
1239 8721 156
1238 8721 238
1310 8720 253
1249 8720 254
1306 8718 276
1246 8712 246
560 8710 350
990 8710 208
977 8704 163
961 8703 205
270 8688 167
1251 8682 276
1284 8680 217
1267 8676 236
1285 8676 170
889 8676 167
1259 8657 265
1007 8642 175
1258 8638 713
880 8618 99
942 8616 131
941 8615 82
971 8612 119
967 8612 141
890 8611 116
887 8611 213
893 8610 155
884 8609 91
948 8608 116
882 8607 119
968 8605 104
914 8605 97
996 8604 85
894 8603 252
992 8603 213
973 8603 111
926 8603 107
974 8602 98
924 8601 131
896 8600 114
919 8600 171
922 8599 102
969 8598 104
936 8598 297
978 8597 81
988 8597 128
895 8597 226
935 8597 365
925 8597 187
952 8597 101
931 8596 158
966 8595 104
905 8595 105
928 8594 112
903 8589 91
1230 8588 136
981 8585 139
423 8579 87
1001 8550 320
1128 8543 93
492 8542 226
278 8533 126
945 8533 110
879 8520 116
1318 8503 189
263 8486 188
673 8486 135
238 8485 174
892 8472 131
970 8472 79
975 8470 96
881 8467 112
1242 8412 105
739 8395 176
247 8394 479
950 8326 286
248 8325 288
929 8285 183
345 8273 219
1225 8197 463
1226 8185 449
1278 8167 257
1279 8167 269
1272 8159 234
1302 8159 299
1275 8158 335
1296 8154 293
1297 8154 290
1300 8141 162
1283 8111 239
844 7959 80
909 7827 190
1232 7738 188
1319 7581 775
1255 7485 156
1353 7471 154
994 7454 187
827 7199 83
117 7142 236
111 7142 245
119 7142 156
149 7142 141
136 7140 265
139 7118 272
108 7025 301
141 6807 386
1234 6673 252
137 6670 125
848 6240 183
147 6130 254
1241 5659 85
1303 5634 214
1264 5614 178
55 5405 89
79 5405 103
32 5405 58
82 5404 113
91 5397 51
41 5354 102
1 5318 55
693 5305 325
886 5239 103
69 5133 150
107 4976 249
112 3434 144
144 3374 247
