percentage,mae,rmse,mae_percent
0,47.16542959295264,64.20820104502637,12.205958086629606
10,43.396061276492865,61.29571805841969,11.230481936389001
20,44.70593281108146,61.505383668482565,11.461576006384846
30,42.63395891676176,60.83631838304264,10.896396849069593
40,47.376335338973206,64.06292883806405,12.108454486151249
50,49.46930436728041,66.98558219580251,12.643375983115035
60,47.89734086229487,64.80815113781209,12.238260162461657
70,46.91946749694896,63.91280424972217,11.98840352249804
80,42.39789927016286,60.065119335433614,10.833096624338069
90,54.229181264214255,71.71744527798985,13.856110104667458
100,43.91653151676655,61.96452299277245,11.221122685711135
