cluster_id,start_time,end_time,size
2,2016-06-07 20:00:00,2016-06-08 04:00:00,9
4,2016-06-19 23:00:00,2016-06-20 06:00:00,8
6,2016-06-20 20:00:00,2016-06-21 06:00:00,11
8,2016-07-06 21:00:00,2016-07-07 05:00:00,9
10,2016-07-07 19:00:00,2016-07-08 06:00:00,12
12,2016-07-08 19:00:00,2016-07-09 06:00:00,12
14,2016-07-14 21:00:00,2016-07-15 06:00:00,10
16,2016-07-15 20:00:00,2016-07-16 06:00:00,11
18,2016-07-22 21:00:00,2016-07-23 07:00:00,11
20,2016-07-23 22:00:00,2016-07-25 06:00:00,33
22,2016-07-25 19:00:00,2016-07-26 06:00:00,12
24,2016-07-26 20:00:00,2016-07-27 06:00:00,11
26,2016-07-27 19:00:00,2016-07-28 06:00:00,12
28,2016-07-28 20:00:00,2016-07-29 06:00:00,11
30,2016-08-05 20:00:00,2016-08-06 06:00:00,11
32,2016-08-06 21:00:00,2016-08-08 06:00:00,34
34,2016-08-08 20:00:00,2016-08-09 06:00:00,11
36,2016-08-09 19:00:00,2016-08-10 06:00:00,12
38,2016-08-10 20:00:00,2016-08-11 06:00:00,11
40,2016-08-11 20:00:00,2016-08-12 06:00:00,11
42,2016-08-12 21:00:00,2016-08-13 06:00:00,10
44,2016-08-13 22:00:00,2016-08-14 08:00:00,11
46,2016-08-14 22:00:00,2016-08-15 06:00:00,9
48,2016-08-15 20:00:00,2016-08-16 06:00:00,11
50,2016-08-16 21:00:00,2016-08-17 06:00:00,10
52,2016-08-17 21:00:00,2016-08-18 06:00:00,10
54,2016-08-18 20:00:00,2016-08-19 06:00:00,11
56,2016-08-19 22:00:00,2016-08-20 07:00:00,10
58,2016-08-26 20:00:00,2016-08-27 07:00:00,12
60,2016-08-27 23:00:00,2016-08-29 05:00:00,31
62,2016-09-08 22:00:00,2016-09-09 06:00:00,9
64,2016-09-09 21:00:00,2016-09-10 06:00:00,10
66,2016-09-10 22:00:00,2016-09-12 06:00:00,33
68,2016-09-15 20:00:00,2016-09-16 06:00:00,11
70,2016-09-16 19:00:00,2016-09-17 06:00:00,12
72,2016-09-19 20:00:00,2016-09-20 06:00:00,11
74,2016-09-20 20:00:00,2016-09-21 06:00:00,11
76,2016-10-19 21:00:00,2016-10-20 03:00:00,7
78,2016-10-20 20:00:00,2016-10-21 03:00:00,8
80,2016-12-24 03:00:00,2016-12-26 22:00:00,68
