percentage,mae,rmse,mae_percent
0,30.250153496387295,55.01788144316911,8.682385529043364
10,25.456252795084385,49.997731021573735,7.225425601626299
20,26.34979975631653,46.47457209504203,7.479047261574177
30,25.361952354212725,47.76857553790363,7.198659650439238
40,27.668786810361457,50.72700540480346,7.853424547391757
50,24.313128472996723,43.39108228932501,6.824984822088087
60,21.939117202146097,40.021875629330154,6.158571575063257
70,17.10897210822848,30.252567162519068,4.750753658382148
80,19.944228478757232,31.367833528296103,5.538036756953723
90,19.43736596231979,32.41606094889823,5.397293120279966
100,14.332872550570896,19.522675267350657,3.9370613502435474
