percentage,mae,rmse,mae_percent
0,30.250153496387274,55.017881443169095,8.682385529043357
10,25.456252864297557,49.997731090618984,7.2254256212715555
20,27.22899271309052,45.50653963526618,7.728594724422716
30,25.361952354212242,47.76857553790234,7.1986596504391
40,25.562918649272515,49.00652821557478,7.255701314233108
50,21.653665496287648,41.50581618667565,6.078441880438115
60,21.939117201835987,40.021875629259235,6.1585715749762056
70,17.470653905273085,31.345358869415936,4.851184070543116
80,19.9442284787505,31.367833528288624,5.538036756951854
90,17.92658195032271,31.052373841188405,4.977784418844392
100,14.332872550364431,19.522675266709435,3.9370613501868337
