percentage,mae,rmse,mae_percent
0,46.83625416892532,82.17576119650641,13.442920726978771
10,43.01493059644206,74.14539724085255,12.209227465077923
20,56.47447150318766,93.52798382126005,16.02954274229403
30,43.0099053547446,77.17997090071134,12.2078011157127
40,39.16120284868492,75.51116097787148,11.11539706692447
50,35.26605223194571,65.71726163300247,9.899601011252699
60,45.8543729266494,76.04661823763233,12.871868776506142
70,42.28070717456475,64.07180876831393,11.740344365395433
80,36.61960136023788,57.89574028349757,10.168390247534251
90,36.11411275177019,55.736906972194866,10.02802811234827
100,30.765210158016302,47.359968525576534,8.450819570039476
