gap_date,template_date,gap_weekday,template_weekday,days_apart
2016-03-25,2016-03-18,Friday,Friday,7
2016-03-28,2016-03-07,Monday,Monday,21
2016-03-29,2016-03-08,Tuesday,Tuesday,21
2016-03-30,2016-03-16,Wednesday,Wednesday,14
2016-09-29,2016-10-13,Thursday,Thursday,14
2016-09-30,2016-10-07,Friday,Friday,7
2016-10-01,2016-09-24,Saturday,Saturday,7
2016-11-19,2016-12-03,Saturday,Saturday,14
2016-11-20,2016-11-13,Sunday,Sunday,7
2016-11-21,2016-11-14,Monday,Monday,7
2016-11-26,2016-12-09,Saturday,Friday,13
2016-11-27,2016-11-13,Sunday,Sunday,14
2016-11-28,2016-12-01,Monday,Thursday,3
2016-12-17,2016-12-16,Saturday,Friday,1
2016-12-18,2016-01-03,Sunday,Sunday,350
2016-12-19,2016-12-22,Monday,Thursday,3
2016-12-24,2016-12-23,Saturday,Friday,1
2016-12-25,2016-01-03,Sunday,Sunday,357
2016-12-26,2016-12-27,Monday,Tuesday,1
