gap_date,template_date,gap_weekday,template_weekday,days_apart
2016-05-02,2016-05-03,Monday,Tuesday,1
2016-05-09,2016-05-05,Monday,Thursday,4
2016-05-23,2016-05-16,Monday,Monday,7
2016-05-30,2016-06-06,Monday,Monday,7
2016-07-04,2016-07-05,Monday,Tuesday,1
2016-07-11,2016-07-18,Monday,Monday,7
2016-08-15,2016-08-22,Monday,Monday,7
2016-10-15,2016-10-16,Saturday,Sunday,1
2016-10-20,2016-10-25,Thursday,Tuesday,5
2016-10-21,2016-10-28,Friday,Friday,7
2016-10-22,2016-10-29,Saturday,Saturday,7
2016-10-23,2016-10-16,Sunday,Sunday,7
2016-10-24,2016-10-25,Monday,Tuesday,1
2016-11-06,2016-11-05,Sunday,Saturday,1
2016-11-12,2016-11-19,Saturday,Saturday,7
2016-11-13,2016-11-05,Sunday,Saturday,8
2016-11-15,2016-11-08,Tuesday,Tuesday,7
