cluster_id,start_time,end_time,size
2,2016-02-13 06:00:00,2016-02-14 13:00:00,32
4,2016-04-06 23:00:00,2016-04-08 00:00:00,26
6,2016-06-06 16:00:00,2016-06-06 18:00:00,3
8,2016-07-04 04:00:00,2016-07-04 19:00:00,16
10,2016-07-23 07:00:00,2016-07-23 17:00:00,11
12,2016-07-24 07:00:00,2016-07-24 17:00:00,11
14,2016-07-28 08:00:00,2016-07-28 11:00:00,4
16,2016-07-28 23:00:00,2016-07-29 07:00:00,9
18,2016-07-29 18:00:00,2016-07-30 00:00:00,7
20,2016-09-03 00:00:00,2016-09-04 19:00:00,44
22,2016-09-10 00:00:00,2016-09-10 18:00:00,19
24,2016-09-11 07:00:00,2016-09-11 09:00:00,3
26,2016-10-01 03:00:00,2016-10-01 08:00:00,6
28,2016-10-10 04:00:00,2016-10-10 23:00:00,20
30,2016-11-13 03:00:00,2016-11-14 00:00:00,22
32,2016-11-25 04:00:00,2016-11-26 00:00:00,21
34,2016-12-08 09:00:00,2016-12-08 13:00:00,5
