percentage,mae,rmse,mae_percent
0,6.9844521642533985,9.145296025477998,7.869511537445704
10,6.370904016185938,8.75302895958436,7.178215482086229
20,7.098776064260441,9.22848178035112,8.006490363252476
30,7.4601202543997385,9.903263006537511,8.360569571467572
40,6.392783256618992,8.71785147948987,7.164403166390598
50,6.888198212342967,9.315549972396644,7.719615557455343
60,6.442457138780277,8.718200014779864,7.2200727713744275
70,6.738348828491773,9.092548970517276,7.55167909581579
80,7.314092407651976,10.049681516754973,8.196915913018
90,6.6888366426446995,8.862785490477908,7.496190704168784
100,9.199801735615964,11.672140190535398,10.32679896971223
